		License Management
System Control Board:CSHP
Object           	License File Type                	Capability	Loaded
FRH202 MOE       	1588 file                        	Enable    	Yes
FRH202 MOE       	Radio LAG file                   	Enable    	Yes
FRH202 MOE       	Synchronous Ethernet service file	Enable    	Yes
FRH202 MOE       	MPLS file                        	Enable    	Yes
FRH202 MOE       	GE Port file                     	MAX       	Yes
FRH202 MOE       	ERPS file                        	Enable    	Yes
FRH202 MOE       	PLA file                         	Enable    	Yes
FRH202 MOE       	Second IF port file              	Enable    	Yes
FRH202 MOE       	MPLS-TP OAM file                 	Enable    	Yes
FRH202 MOE       	WRED function file               	Enable    	Yes
FRH202 MOE       	L2DCN file                       	Enable    	Yes
FRH202 MOE       	LLDP file                        	Enable    	Yes
FRH202 MOE       	STM-1 Function file              	MAX       	Yes
FRH202 MOE       	POE Function file                	MAX       	Yes
FRH202 MOE       	SDN AP license                   	Disable   	Yes
FRH202 MOE       	AM file                          	MAX       	Yes
FRH202 MOE       	Bandwidth acceleration file      	MAX       	Yes
FRH202 MOE       	XPIC file                        	MAX       	Yes
FRH202 MOE       	1024QAM file                     	MAX       	Yes
FRH202 MOE       	2048QAM file                     	MAX       	Yes
FRH202 MOE-3-ISV3	AM file                          	Disable   	Yes
FRH202 MOE-3-ISV3	Hybrid file                      	MAX       	Yes
FRH202 MOE-3-ISV3	Bandwidth acceleration file      	Disable   	Yes
FRH202 MOE-3-ISV3	XPIC file                        	Disable   	Yes
FRH202 MOE-3-ISV3	1024QAM file                     	Disable   	Yes
FRH202 MOE-3-ISV3	2048QAM file                     	Disable   	Yes
FRH202 MOE-4-ISV3	AM file                          	Disable   	Yes
FRH202 MOE-4-ISV3	Hybrid file                      	MAX       	Yes
FRH202 MOE-4-ISV3	Bandwidth acceleration file      	Disable   	Yes
FRH202 MOE-4-ISV3	XPIC file                        	Disable   	Yes
FRH202 MOE-4-ISV3	1024QAM file                     	Disable   	Yes
FRH202 MOE-4-ISV3	2048QAM file                     	Disable   	Yes
