		License Management
Object       	License File Type                	Capability	Loaded
BKH105       	1588 file                        	Enable    	Yes
BKH105       	Radio LAG file                   	Enable    	Yes
BKH105       	Synchronous Ethernet service file	Enable    	Yes
BKH105       	MPLS file                        	Enable    	Yes
BKH105       	GE Port file                     	MAX       	Yes
BKH105       	ERPS file                        	Enable    	Yes
BKH105       	PLA file                         	Enable    	Yes
BKH105       	MPLS-TP OAM file                 	Enable    	Yes
BKH105       	WRED function file               	Enable    	Yes
BKH105       	L2DCN file                       	Enable    	Yes
BKH105       	LLDP file                        	Enable    	Yes
BKH105       	STM-1 Function file              	MAX       	Yes
BKH105       	AM file                          	MAX       	Yes
BKH105       	E1 Priority file                 	MAX       	Yes
BKH105       	Bandwidth acceleration file      	MAX       	Yes
BKH105       	XPIC file                        	MAX       	Yes
BKH105       	1024QAM file                     	MAX       	Yes
BKH105-3-ISV3	AM file                          	Disable   	Yes
BKH105-3-ISV3	Hybrid file                      	MAX       	Yes
BKH105-3-ISV3	E1 Priority file                 	Disable   	Yes
BKH105-3-ISV3	Bandwidth acceleration file      	Disable   	Yes
BKH105-3-ISV3	XPIC file                        	Disable   	Yes
BKH105-3-ISV3	1024QAM file                     	Disable   	Yes
