Version5;
USB\VID_05BA&PID_0103&REV_0300&MI_01	DigitalPersona\Allx86\Firefly_4.0.0.32\	dpersona.inf	Models	1	01/25/2007,4.0.0.32	Firefly Fingerprint Reader
USB\VID_138A&PID_003c	VS\FORCED\NTx64\WBF_003c_DRV\	wbf_vfs_003c.inf	Validity.NTamd64	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName003c
USB\VID_138A&PID_003c	VS\FORCED\NTx64\WBF_003c_DRV\	wbf_vfs_003c.inf	Validity.NTx86	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName003c
USB\VID_138A&PID_003c	VS\FORCED\NTx86\WBF_003c_DRV\	wbf_vfs_003c.inf	Validity.NTx86	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName003c
USB\VID_138A&PID_003C	VS\WinAll\ALL\	vfs471.inf	Validity.NTamd64	1	09/12/2013,4.5.133.0	Validity Sensor (VFS471)
USB\VID_138A&PID_003c	VS\FORCED\NTx86\WBF_003c_DRV\	wbf_vfs_003c.inf	Validity.NTamd64	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName003c
USB\VID_138A&PID_003C	VS\WinAll\ALL\	vfs471.inf	Validity.NTx86	1	09/12/2013,4.5.133.0	Validity Sensor (VFS471)
USB\VID_138A&PID_003d	VS\FORCED\NTx86\WBF_003d_DRV\	wbf_vfs_003d.inf	Validity.NTamd64	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName003d
USB\VID_138A&PID_003D	VS\WinAll\ALL\	vfs491.inf	Validity.NTx86	1	09/12/2013,4.5.133.0	Validity Sensor (VFS491)
USB\VID_138A&PID_003d	VS\FORCED\NTx86\WBF_003d_DRV\	wbf_vfs_003d.inf	Validity.NTx86	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName003d
USB\VID_138A&PID_003d	VS\FORCED\NTx64\WBF_003d_DRV\	wbf_vfs_003d.inf	Validity.NTamd64	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName003d
USB\VID_138A&PID_003D	VS\WinAll\ALL\	vfs491.inf	Validity.NTamd64	1	09/12/2013,4.5.133.0	Validity Sensor (VFS491)
USB\VID_138A&PID_003d	VS\FORCED\NTx64\WBF_003d_DRV\	wbf_vfs_003d.inf	Validity.NTx86	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName003d
HID\VID_1B96&PID_0001&REV_2000&mi_00	N-Trig\FORCED\7x86\0001.2\	ntrigdigi.inf	Standard.NTx86.6.1.1	0	08/18/2010,3.1.2000.6	N-trig DuoSense Control HID device
HID\VID_1B96&PID_0001&REV_2000&mi_00	N-Trig\FORCED\8x86\	ntrigdigi.inf	Standard.NTx86.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Control HID device
HID\VID_1B96&PID_0001&REV_2000&mi_00	N-Trig\FORCED\7x64\0001.2\	NtrigDigi.Inf	Standard.NTAMD64.6.1.1	0	08/18/2010,3.1.2000.6	N-trig DuoSense Control HID device
HID\VID_1B96&PID_0001&REV_2000&mi_00	N-Trig\FORCED\8x64\	NtrigDigi.Inf	Standard.NTAMD64.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Control HID device
USB\VID_138A&PID_003f	VS\FORCED\NTx86\WBF_003f_DRV\	wbf_vfs_003f.inf	Validity.NTamd64	1	10/09/2013,4.5.238.0	Variable: VfsUsbDeviceName003f
