Version5;
Monitor\MEDF916	Medion\WinAll\	MED2AD.inf	MED	0	08/31/2005,1.00	MED MED2AD
Monitor\MEDF915	Medion\WinAll\	MED2AA.inf	MED	0	08/31/2005,1.00	MED MED2AA
Monitor\DELF040	DELL\WinAll\	S2230MX.inf	DELL.NTx86	1	04/12/2011,1.0.0.0	Dell S2230MX_Digital
Monitor\DELF040	DELL\WinAll\	S2230MX.inf	DELL.NTAMD64	1	04/12/2011,1.0.0.0	Dell S2230MX_Digital
Monitor\DELF040	DELL\WinAll\	S2230MX.inf	DELL	1	04/12/2011,1.0.0.0	Dell S2230MX_Digital
Monitor\API440B	Acer\WinAll\	ACER2000.INF	Acer	0	Unknown	Acer 11D
Monitor\BNQ772C	BENQ\WinAll\	T902HD.INF	BenQ.NTx86	1	05/12/2009,1.0	BenQ T902HD DVI
Monitor\BNQ772C	BENQ\WinAll\	T902HD.INF	BenQ	1	05/12/2009,1.0	BenQ T902HD DVI
Monitor\BNQ772C	BENQ\WinAll\	T902HD.INF	BenQ.NTAMD64	1	05/12/2009,1.0	BenQ T902HD DVI
Monitor\BNQ772B	BENQ\WinAll\	T902HD.INF	BenQ	1	05/12/2009,1.0	BenQ T902HD D-SUB
Monitor\BNQ772B	BENQ\WinAll\	T902HD.INF	BenQ.NTAMD64	1	05/12/2009,1.0	BenQ T902HD D-SUB
Monitor\BNQ772B	BENQ\WinAll\	T902HD.INF	BenQ.NTx86	1	05/12/2009,1.0	BenQ T902HD D-SUB
Monitor\BNQ772B	BENQ\WinAll\	T902HDA.INF	BenQ.NTAMD64	1	05/12/2009,1.0	BenQ T902HDA
Monitor\BNQ772B	BENQ\WinAll\	T902HDA.INF	BenQ	1	05/12/2009,1.0	BenQ T902HDA
Monitor\BNQ772B	BENQ\WinAll\	T902HDA.INF	BenQ.NTx86	1	05/12/2009,1.0	BenQ T902HDA
Monitor\API4C21	Acer\WinAll\	ACER2000.INF	Acer	0	Unknown	Acer 33DL
Monitor\API4C22	Acer\WinAll\	ACER2000.INF	Acer	0	Unknown	Acer 34TL
Monitor\MED4768	Medion\WinAll\	MD7494AQ.inf	Medion	0	01/12/2003	Medion MD7494AQ
Monitor\MED4760	Medion\WinAll\	MD6155AN.inf	Medion	0	01/12/2003	Medion MD6155AN
Monitor\VSCE405	ViewSonic\Allx64\	VS060719_c19.inf	ViewSonic.NTamd64	0	07/19/2006,1.4.0.28	ViewSonic E790B-4
Monitor\VSCE405	ViewSonic\Allx86\	VS060719_c19.inf	ViewSonic.NTamd64	0	07/19/2006,1.4.0.28	ViewSonic E790B-4
Monitor\VSCE405	ViewSonic\Allx86\	VS060719_c19.inf	ViewSonic	0	07/19/2006,1.4.0.28	ViewSonic E790B-4
Monitor\VSCE405	ViewSonic\Allx64\	VS060719_c19.inf	ViewSonic	0	07/19/2006,1.4.0.28	ViewSonic E790B-4
Monitor\VSCE405	ViewSonic\Allx86\	VS060719_c19.inf	ViewSonic.NTia64	0	07/19/2006,1.4.0.28	ViewSonic E790B-4
Monitor\VSCE405	ViewSonic\Allx64\	VS060719_c19.inf	ViewSonic.NTia64	0	07/19/2006,1.4.0.28	ViewSonic E790B-4
Monitor\VSCF220	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.73	ViewSonic Q191wb-2
Monitor\VSCF220	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.73	ViewSonic Q191wb-2
Monitor\VSCF220	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.73	ViewSonic Q191wb-2
Monitor\VSCF220	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic	0	01/14/2013,1.5.2.73	ViewSonic Q191wb-2
Monitor\API4C38	Acer\WinAll\	ACER2000.INF	Acer	0	Unknown	Acer 56L
Monitor\VSCF220	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.73	ViewSonic Q191wb-2
Monitor\VSCF220	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic	0	01/14/2013,1.5.2.73	ViewSonic Q191wb-2
Monitor\API4C37	Acer\WinAll\	ACER2000.INF	Acer	0	Unknown	Acer 55L
Monitor\VSCF228	ViewSonic\Allx86\	VS130114_l47.inf	ViewSonic	0	01/14/2013,1.5.2.75	ViewSonic EP4646
Monitor\VSCF228	ViewSonic\Allx86\	VS130114_l47.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.75	ViewSonic EP4646
Monitor\VSCF228	ViewSonic\Allx86\	VS130114_l47.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.75	ViewSonic EP4646
Monitor\VSCF228	ViewSonic\Allx64\	VS130114_l47.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.75	ViewSonic EP4646
Monitor\VSCF228	ViewSonic\Allx64\	VS130114_l47.inf	ViewSonic	0	01/14/2013,1.5.2.75	ViewSonic EP4646
Monitor\VSCF228	ViewSonic\Allx64\	VS130114_l47.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.75	ViewSonic EP4646
Monitor\AOC569E	AOC\WinAll\	aoc5g.inf	AOC	1	11/10/2000, 	AOC Spectrum 5Glr,5GlrA,5Glr+ & 5GlrA+
Monitor\AOC569E	AOC\WinAll\	AOC2_5V.INF	AOC	0	Unknown	AOC SPECTRUM 5Glr & 5GlrA & 5Glr+ & 5GlrA+
Monitor\VSC3F20	ViewSonic\Allx86\	VS120924_l17.inf	ViewSonic.NTia64	0	09/24/2012,1.5.2.55	ViewSonic VA1721wmb-2
Monitor\VSC3F20	ViewSonic\Allx64\	VS120924_l17.inf	ViewSonic.NTia64	0	09/24/2012,1.5.2.55	ViewSonic VA1721wmb-2
Monitor\VSC3F20	ViewSonic\Allx64\	VS120924_l17.inf	ViewSonic	0	09/24/2012,1.5.2.55	ViewSonic VA1721wmb-2
Monitor\VSC3F20	ViewSonic\Allx86\	VS120924_l17.inf	ViewSonic	0	09/24/2012,1.5.2.55	ViewSonic VA1721wmb-2
Monitor\VSC3F20	ViewSonic\Allx86\	VS120924_l17.inf	ViewSonic.NTamd64	0	09/24/2012,1.5.2.55	ViewSonic VA1721wmb-2
Monitor\VSC3F20	ViewSonic\Allx64\	VS120924_l17.inf	ViewSonic.NTamd64	0	09/24/2012,1.5.2.55	ViewSonic VA1721wmb-2
Monitor\VSC3F24	ViewSonic\6x86\VX2739wm\	VX2739wm.inf	ViewSonic.NTamd64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\6x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTamd64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\Allx64\	VS130114_l20.inf	ViewSonic	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\5x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTia64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\6x86\VX2739wm\	VX2739wm.inf	ViewSonic	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\5x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTamd64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\Allx64\	VS130114_l20.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\Allx86\	VS130114_l20.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\Allx86\	VS130114_l20.inf	ViewSonic	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\GSM9D50	LG\WinAll\	M4212C.inf	LG	1	02/26/2008,1.3	LG M4212C(Digital)
Monitor\VSC3F24	ViewSonic\6x86\VX2739wm\	VX2739wm.inf	ViewSonic.NTia64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\7x86\VX2739wm\	VX2739wm.inf	ViewSonic	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\Allx64\	VS130114_l20.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\Allx86\	VS130114_l20.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\6x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTia64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
