Version5;
Monitor\MEL4381	NEC\WinAll\OLD\	mitsubis.inf	Mitsubishi	0	09/25/2001,1.01.0925.0001	Mitsubishi Diamond Pro 720 (NFN9705)
Monitor\MEL4380	NEC\WinAll\OLD\	mitsubis.inf	Mitsubishi	0	09/25/2001,1.01.0925.0001	Mitsubishi Diamond Pro 710s (NFN8705)
Monitor\STN0020	Samsung\WinAll\	ST98PDF.inf	Samsung	1	01/28/2004,1.0	SAMTRON 98PDF/99DF/99PDF
Monitor\GWY05E7	GTW\WinAll\	05E6.inf	Gateway	1	08/12/2001,1.1	Gateway FPD1510
Monitor\GWY05E7	Gateway\WinAll\	05E6.inf	Gateway	1	08/12/2001,1.1	Gateway FPD1510
Monitor\GWY05E6	Gateway\WinAll\	05E6.inf	Gateway	1	08/12/2001,1.1	Gateway FPD1510
Monitor\GWY05E6	GTW\WinAll\	05E6.inf	Gateway	1	08/12/2001,1.1	Gateway FPD1510
Monitor\STC0912	Seanix\WinAll\	sampov10.inf	STC	0	Unknown	AlphaScan 912S
Monitor\STC0912	DAYTEK\WinAll\	vista.inf	STC	0	Unknown	AlphaScan 912S
Monitor\VSCA52A	ViewSonic\WinAll\	VS130320_l20.inf	ViewSonic.NTia64	0	03/20/2013,1.5.2.82	ViewSonic VA2239 Series
Monitor\VSCA52A	ViewSonic\6x86\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTia64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\7x86\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTia64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\WinAll\	VS130114_l20.inf	ViewSonic	0	01/14/2013,1.5.2.81	ViewSonic VA2239 Series
Monitor\VSCA52A	ViewSonic\6x64\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTamd64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\7x86\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTamd64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\5x64\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTamd64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\5x64\VA2239_Series\	VA2239_SERIES.inf	ViewSonic	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\6x64\VA2239_Series\	VA2239_SERIES.inf	ViewSonic	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\WinAll\	VS130114_l20.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.81	ViewSonic VA2239 Series
Monitor\VSCA52A	ViewSonic\6x86\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTamd64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\7x86\VA2239_Series\	VA2239_SERIES.inf	ViewSonic	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\WinAll\	VS130530_l20.inf	ViewSonic.NTia64	0	05/30/2013,1.5.2.83	ViewSonic VA2239 Series
Monitor\VSCA52A	ViewSonic\5x64\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTia64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\WinAll\	VS130530_l20.inf	ViewSonic	0	05/30/2013,1.5.2.83	ViewSonic VA2239 Series
Monitor\VSCA52A	ViewSonic\7x64\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTamd64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\WinAll\	VS130530_l20.inf	ViewSonic.NTamd64	0	05/30/2013,1.5.2.83	ViewSonic VA2239 Series
Monitor\VSCA52A	ViewSonic\WinAll\	VS130114_l20.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.81	ViewSonic VA2239 Series
Monitor\VSCA52A	ViewSonic\WinAll\	VS130320_l20.inf	ViewSonic	0	03/20/2013,1.5.2.82	ViewSonic VA2239 Series
Monitor\VSCA52A	ViewSonic\7x64\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTia64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\6x86\VA2239_Series\	VA2239_SERIES.inf	ViewSonic	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\7x64\VA2239_Series\	VA2239_SERIES.inf	ViewSonic	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\5x64\VG2239_Series\	VA2239_SERIES.inf	ViewSonic.NTamd64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\WinAll\	VS130320_l20.inf	ViewSonic.NTamd64	0	03/20/2013,1.5.2.82	ViewSonic VA2239 Series
Monitor\VSCA52A	ViewSonic\5x64\VG2239_Series\	VA2239_SERIES.inf	ViewSonic	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\5x64\VG2239_Series\	VA2239_SERIES.inf	ViewSonic.NTia64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
Monitor\VSCA52A	ViewSonic\6x64\VA2239_Series\	VA2239_SERIES.inf	ViewSonic.NTia64	0	09/20/2011,1.5.0.0	ViewSonic VA2239 SERIES
