Version5;
PCI\VEN_1002&DEV_5E6D&SUBSYS_08211545	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	VisionTek Xtasy RADEON X700 Secondary
PCI\VEN_1002&DEV_5657&SUBSYS_0490174B	Legacy\6x86\10.2\	CL_95951.inf	ATI.Mfg.NTx86.6.0	1	02/10/2010,8.593.100.0000	Radeon X550XTX     
PCI\VEN_1002&DEV_5657&SUBSYS_0490174B	Legacy\5x64\10.2\	CA_95952.inf	ATI.Mfg.NTamd64	1	02/10/2010,8.593.100.0000	Radeon X550XTX     
PCI\VEN_1002&DEV_5657&SUBSYS_0490174B	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	Radeon X550XTX  
PCI\VEN_1002&DEV_5657&SUBSYS_0490174B	Legacy\6x64\10.2\	CH_95951.inf	ATI.Mfg.NTamd64.6.0	1	02/10/2010,8.593.100.0000	Radeon X550XTX     
PCI\VEN_1002&DEV_5657&SUBSYS_0490174B	Legacy\5x86\10.2\	CX_95952.inf	ATI.Mfg.NTx86	1	02/10/2010,8.593.100.0000	Radeon X550XTX     
PCI\VEN_1002&DEV_5D6F&SUBSYS_1D4E1787	Legacy\6x64\10.2\	CH_95951.inf	ATI.Mfg.NTamd64.6.0	1	02/10/2010,8.593.100.0000	RADEON X800 GTO Secondary                  
PCI\VEN_1002&DEV_5D6F&SUBSYS_1D4E1787	Legacy\6x86\10.2\	CL_95951.inf	ATI.Mfg.NTx86.6.0	1	02/10/2010,8.593.100.0000	RADEON X800 GTO Secondary                  
PCI\VEN_1002&DEV_5D6F&SUBSYS_1D4E1787	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	RADEON X800 GTO Secondary                
PCI\VEN_1002&DEV_5D6F&SUBSYS_1D4E1787	Legacy\5x86\10.2\	CX_95952.inf	ATI.Mfg.NTx86	1	02/10/2010,8.593.100.0000	RADEON X800 GTO Secondary                  
PCI\VEN_1002&DEV_5D6F&SUBSYS_1D4E1787	Legacy\5x64\10.2\	CA_95952.inf	ATI.Mfg.NTamd64	1	02/10/2010,8.593.100.0000	RADEON X800 GTO Secondary                  
PCI\VEN_1002&DEV_556D&SUBSYS_0B131002	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	RADEON X800 XL Secondary 
PCI\VEN_1002&DEV_4173&SUBSYS_95151462	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	MSI RX9550SE Secondary 
PCI\VEN_1002&DEV_5D72&SUBSYS_03031002	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	RADEON X850 XT Secondary 
PCI\VEN_1002&DEV_556F&SUBSYS_21371458	Legacy\5x64\10.2\	CA_95952.inf	ATI.Mfg.NTamd64	1	02/10/2010,8.593.100.0000	RADEON X800 GTO Secondary 
PCI\VEN_1002&DEV_556F&SUBSYS_21371458	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	RADEON X800 GTO Secondary 
PCI\VEN_1002&DEV_556F&SUBSYS_21371458	Legacy\6x64\10.2\	CH_95951.inf	ATI.Mfg.NTamd64.6.0	1	02/10/2010,8.593.100.0000	RADEON X800 GTO Secondary 
PCI\VEN_1002&DEV_556F&SUBSYS_21371458	Legacy\5x86\10.2\	CX_95952.inf	ATI.Mfg.NTx86	1	02/10/2010,8.593.100.0000	RADEON X800 GTO Secondary 
