Version5;
DISPLAY\wADV02NT	FORCED\5x86\82810_6.13.01.3196\	wfp1.inf	Intel.Mfg	1	07/23/2002	Intel(r) AIM External Flat Panel Driver 1
PCI\VEN_8086&DEV_0A16	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel Haswell HD Graphics - GT1ULT
PCI\VEN_8086&DEV_0A16	FORCED\5x86\Haswell_6.14.10.5445\	igxp32.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel Haswell HD Graphics - GT1ULT
PCI\VEN_8086&DEV_2983	FORCED\5x86\Express945_6.14.10.4926\	igxp32.inf	Intel.Mfg	1	02/15/2008,6.14.10.4926	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2983	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2983	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2983	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2983	FORCED\5x64\Express945_6.14.10.4926\	igxp64.inf	Intel.Mfg.NTamd64	1	02/15/2008,6.14.10.4926	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2983	FORCED\5x86\Express915_6.14.10.4764\	igxp32.inf	Intel.Mfg	1	01/13/2007,6.14.10.4764	Intel(R)  G965 Express Chipset Family
PCI\VEN_8086&DEV_2983	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2983	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2982	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2982	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2982	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2982	FORCED\5x64\Express945_6.14.10.4926\	igxp64.inf	Intel.Mfg.NTamd64	1	02/15/2008,6.14.10.4926	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2982	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2982	FORCED\5x86\Express945_6.14.10.4926\	igxp32.inf	Intel.Mfg	1	02/15/2008,6.14.10.4926	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2982	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Intel(R)  G35 Express Chipset Family
PCI\VEN_8086&DEV_2982	FORCED\5x86\Express915_6.14.10.4764\	igxp32.inf	Intel.Mfg	1	01/13/2007,6.14.10.4764	Intel(R)  G965 Express Chipset Family
PCI\VEN_8086&DEV_29B3	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B3	FORCED\5x86\Express945_6.14.10.4926\	igxp32.inf	Intel.Mfg	1	02/15/2008,6.14.10.4926	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B3	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B3	FORCED\5x64\Express945_6.14.10.4926\	igxp64.inf	Intel.Mfg.NTamd64	1	02/15/2008,6.14.10.4926	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B3	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B3	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B3	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_29B2	FORCED\5x86\Express945_6.14.10.4926\	igxp32.inf	Intel.Mfg	1	02/15/2008,6.14.10.4926	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B2	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B2	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B2	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B2	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_29B2	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Intel(R) Q35 Express Chipset Family
PCI\VEN_8086&DEV_29B2	FORCED\5x64\Express945_6.14.10.4926\	igxp64.inf	Intel.Mfg.NTamd64	1	02/15/2008,6.14.10.4926	Intel(R) Q35 Express Chipset Family
DISPLAY\wATV10nt	FORCED\5x86\82810_6.13.01.3196\	wtv5.inf	Intel.Mfg	1	07/23/2002	Intel(r) AIM External TV Encoder Driver 5
