Version5;
USB\VID_046D&PID_08A3	Logitech\Allx86\L2\	lvPEPIc.inf	Logitech.Section	1	05/27/2005,8.4.7.1032	Logitech USB Camera (Chat)
USB\VID_046D&PID_08A1	Logitech\Allx86\L2\	lvPEPIc.inf	Logitech.Section	1	05/27/2005,8.4.7.1032	QuickCam IM
USB\VID_046D&PID_08A0	Logitech\Allx86\L2\	lvPEPIv.inf	Logitech	1	05/27/2005,8.4.7.1032	QuickCam IM
USB\VID_046D&PID_08A0	Logitech\Allx86\L2\	lvPEPIv.inf	Logitech.NT	1	05/27/2005,8.4.7.1032	QuickCam IM
USB\Vid_046d&Pid_08A9	Logitech\Allx86\L2\	lvPEPIc.inf	Logitech.Section	1	05/27/2005,8.4.7.1032	Logitech QuickCam for Notebooks Deluxe
USB\Vid_046d&Pid_08A9	Logitech\Allx86\IM2007\	lvPEPIc.inf	Logitech.Section.NT.6.0	1	07/18/2007,11.1.0.2016	Logitech USB Camera (Notebooks Deluxe)
USB\Vid_046d&Pid_08A9	Logitech\Allx86\IM2007\	lvPEPIc.inf	Logitech.Section	1	07/18/2007,11.1.0.2016	Logitech USB Camera (Notebooks Deluxe)
USB\Vid_046d&Pid_08A9	Logitech\Allx86\IM2007\	lvPEPIc.inf	Logitech.Section.NT	1	07/18/2007,11.1.0.2016	Logitech USB Camera (Notebooks Deluxe)
USB\VID_04F2&PID_B2E1&MI_00	EasyCamera\Vimicro\WinAll\13.12.920.1\	vm331avs.inf	USBCamera.NTamd64.6	1	09/20/2012,13.12.920.1	Lenovo EasyCamera
USB\VID_04F2&PID_B2E1&MI_00	EasyCamera\Vimicro\WinAll\13.12.920.1\	vm331avs.inf	USBCamera.NT.5	1	09/20/2012,13.12.920.1	Lenovo EasyCamera
USB\VID_04F2&PID_B2E1&MI_00	EasyCamera\Vimicro\WinAll\13.12.920.1\	vm331avs.inf	USBCamera.NTamd64.5	1	09/20/2012,13.12.920.1	Lenovo EasyCamera
USB\VID_04F2&PID_B2E1&MI_00	EasyCamera\Vimicro\WinAll\13.12.920.1\	vm331avs.inf	USBCamera.NT.6	1	09/20/2012,13.12.920.1	Lenovo EasyCamera
USB\VID_04F2&PID_B2E1&MI_00	EasyCamera\Vimicro\WinAll\13.12.920.1\	vm331avs.inf	USBCamera	1	09/20/2012,13.12.920.1	Lenovo EasyCamera
USB\VID_17EF&PID_1004	Sonix\WinAll\S3\	snp2uvc.inf	SN.NTx86.5.1	1	06/11/2009,5.8.53002.0	Integrated Camera
USB\VID_17EF&PID_1004	Sonix\WinAll\S3\	snp2uvc.inf	SN.NTx86.6.0	1	06/11/2009,5.8.53002.0	Integrated Camera
USB\VID_17EF&PID_1004	Sonix\WinAll\S4\	snp2uvc.inf	SN.NTamd64	1	08/03/2009,5.8.53003.0	Integrated Camera
USB\VID_17EF&PID_1004	Sonix\WinAll\S4\	snp2uvc.inf	SN.NTx86.5.1	1	08/03/2009,5.8.53003.0	Integrated Camera
USB\VID_17EF&PID_1004	Sonix\WinAll\S3\	snp2uvc.inf	SN	1	06/11/2009,5.8.53002.0	Integrated Camera
USB\VID_17EF&PID_1004	Sonix\WinAll\S3\	snp2uvc.inf	SN.NTamd64.6.0	1	06/11/2009,5.8.53002.0	Integrated Camera
USB\VID_17EF&PID_1004	Sonix\WinAll\S4\	snp2uvc.inf	SN	1	08/03/2009,5.8.53003.0	Integrated Camera
USB\VID_17EF&PID_1004	Sonix\WinAll\S3\	snp2uvc.inf	SN.NTamd64	1	06/11/2009,5.8.53002.0	Integrated Camera
USB\VID_04F2&PID_B093	Sonix\WinAll\S0\	snp2uvc.inf	SN.NTamd64.6.0	1	06/29/2009,5.8.39017.0	HP Webcam [2 MP]
USB\VID_04F2&PID_B093	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B093	Sonix\WinAll\S0\	snp2uvc.inf	SN.NTx86.6.0	1	06/29/2009,5.8.39017.0	HP Webcam [2 MP]
USB\VID_04F2&PID_B093	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B093	Sonix\WinAll\S0\	snp2uvc.inf	SN.NTx86.5.1	1	06/29/2009,5.8.39017.0	HP Webcam [2 MP]
USB\VID_04F2&PID_B093	Sonix\WinAll\S0\	snp2uvc.inf	SN.NTamd64	1	06/29/2009,5.8.39017.0	HP Webcam [2 MP]
USB\VID_04F2&PID_B092	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B092	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B091	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B091	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B090	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B090	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B097	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B097	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_174F&PID_147F&MI_00	Realtek\Allx86\6.2.9200.10292_Lenovo\	RtDxLeF.inf	Realtek.NTx86.6	1	10/22/2014,6.2.9200.10292	Lenovo EasyCamera
USB\VID_174F&PID_147F&MI_00	Realtek\Allx64\6.2.9200.10292_Lenovo\	RtDxLeF.inf	Realtek.NTamd64.6	1	10/22/2014,6.2.9200.10292	Lenovo EasyCamera
USB\VID_174F&PID_147F&MI_00	Realtek\Allx86\6.2.9200.10277\	RtDxLeF.inf	Realtek.NTx86.6	1	05/16/2014,6.2.9200.10277	Lenovo EasyCamera
USB\VID_174F&PID_147F&MI_00	Realtek\Allx64\6.2.9200.10285_Lenovo\	RtDxLeF.inf	Realtek.NTamd64.6	1	07/28/2014,6.2.9200.10285	Lenovo EasyCamera
USB\VID_174F&PID_147F&MI_00	Realtek\Allx86\6.2.9200.10285_Lenovo\	RtDxLeF.inf	Realtek.NTx86.6	1	07/28/2014,6.2.9200.10285	Lenovo EasyCamera
USB\VID_04F2&PID_B096	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_174F&PID_147F&MI_00	Realtek\NTx86\6.3.9600.11097\	RtLeShF.inf	Realtek.NTx86.6	1	04/27/2015,6.3.9600.11097	Lenovo EasyCamera
USB\VID_174F&PID_147F&MI_00	Realtek\NTx86\6.2.9200.10296\	RtDxLeF.inf	Realtek.NTx86.6	1	01/13/2015,6.2.9200.10296	Lenovo EasyCamera
USB\VID_174F&PID_147F&MI_00	Realtek\NTx64\6.3.9600.11097\	RtLeShF.inf	Realtek.NTamd64.6	1	04/27/2015,6.3.9600.11097	Lenovo EasyCamera
USB\VID_174F&PID_147F&MI_00	Realtek\NTx64\6.2.9200.10296\	RtDxLeF.inf	Realtek.NTamd64.6	1	01/13/2015,6.2.9200.10296	Lenovo EasyCamera
USB\VID_174F&PID_147F&MI_00	Realtek\Allx64\6.2.9200.10277\	RtDxLeF.inf	Realtek.NTamd64.6	1	05/16/2014,6.2.9200.10277	Lenovo EasyCamera
USB\VID_04F2&PID_B096	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\Vid_174F&Pid_6A57&MI_00	Syntek\WinAll\D2\	STK1135.inf	Syntek.NT	0	12/07/2007,6.10.203.001	USB2.0 2M WebCam
USB\Vid_174F&Pid_6A57&MI_00	Syntek\WinAll\D2\	STK1135.inf	Syntek	0	12/07/2007,6.10.203.001	USB2.0 2M WebCam
USB\Vid_174F&Pid_6A57&MI_00	Syntek\WinAll\D2\	STK1135.inf	Syntek.NTamd64	0	12/07/2007,6.10.203.001	USB2.0 2M WebCam
USB\VID_04F2&PID_B095	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B095	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B094	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B094	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B099	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B099	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B098	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B098	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_1871&PID_2039&MI_00	AVEO\Allx64\2.7.0.0\	aveodcnt_64.inf	AVEO.NTamd64	1	09/07/2010,2.7.0.0	USB2.0 PC Camera
USB\VID_1871&PID_2039&MI_00	AVEO\Allx86\2.7.0.0\	aveodcnt_xp.inf	AVEO	0	09/07/2010,2.7.0.0	USB2.0 PC Camera
USB\VID_1871&PID_2039&MI_00	AVEO\Allx86\2.7.0.0\	aveodcnt_2k.inf	AVEO	0	04/09/2010,2.1.0.0	USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx86\6.1.7600.144\	RtsUVC.inf	Realtek.NTx86.6	1	02/15/2012,6.1.7600.144	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx64\6.2.9200.10285_Lenovo\	RtsUVC.inf	Realtek.NTamd64.6	1	07/28/2014,6.2.9200.10285	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\NTx64\6.2.9200.10296\	RtsUVC.inf	Realtek.NTamd64.6	1	01/13/2015,6.2.9200.10296	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx64\6.2.9200.10292_Lenovo\	RtsUVC.inf	Realtek.NTamd64.6	1	10/22/2014,6.2.9200.10292	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx86\6.2.9200.10277\	RtsUVC.inf	Realtek.NTx86.6	1	05/16/2014,6.2.9200.10277	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx86\6.2.9200.10292_Lenovo\	RtsUVC.inf	Realtek.NTx86.6	1	10/22/2014,6.2.9200.10292	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx64\6.1.7600.144\	RtsUVC.inf	Realtek.NTamd64.6	1	02/15/2012,6.1.7600.144	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx86\6.2.9200.10285_Lenovo\	RtsUVC.inf	Realtek.NTx86.6	1	07/28/2014,6.2.9200.10285	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx64\6.2.9200.10277\	RtsUVC.inf	Realtek.NTamd64.6	1	05/16/2014,6.2.9200.10277	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\NTx86\6.2.9200.10296\	RtsUVC.inf	Realtek.NTx86.6	1	01/13/2015,6.2.9200.10296	Realtek USB2.0 PC Camera
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\SCBY\	lvSCBYs.inf	Logitech	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\PRO4\	lvPRO4s.inf	Logitech.NT.6.0	1	07/18/2007,11.1.0.2016	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\PRO3\	lvPRO3s.inf	Logitech.NT.6.0	1	02/03/2007,10.5.1.2023	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\PRO4\	lvPRO4s.inf	Logitech	1	07/18/2007,11.1.0.2016	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\PRO3\	lvPRO3s.inf	Logitech	1	02/03/2007,10.5.1.2023	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\SCBY\	lvSCBYs.inf	Logitech.NT.6.0	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks Mic
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\SCBY\	lvSCBYv.inf	Logitech.NT	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks
