		License Management
System Control Board:CSHNA
Object                         	License File Type                	Capability	Loaded
KBL269 TO KBLA140-40MGW        	1588 file                        	Enable    	Yes
KBL269 TO KBLA140-40MGW        	IMA file                         	Enable    	Yes
KBL269 TO KBLA140-40MGW        	Radio LAG file                   	Enable    	Yes
KBL269 TO KBLA140-40MGW        	Synchronous Ethernet service file	Enable    	Yes
KBL269 TO KBLA140-40MGW        	MPLS file                        	Enable    	Yes
KBL269 TO KBLA140-40MGW        	GE Port file                     	MAX       	Yes
KBL269 TO KBLA140-40MGW        	ERPS file                        	Enable    	Yes
KBL269 TO KBLA140-40MGW        	PLA file                         	Enable    	Yes
KBL269 TO KBLA140-40MGW        	MPLS-TP OAM file                 	Enable    	Yes
KBL269 TO KBLA140-40MGW        	WRED function file               	Enable    	Yes
KBL269 TO KBLA140-40MGW        	L2DCN file                       	Enable    	Yes
KBL269 TO KBLA140-40MGW        	LLDP file                        	Enable    	Yes
KBL269 TO KBLA140-40MGW        	AM file                          	MAX       	Yes
KBL269 TO KBLA140-40MGW        	Bandwidth acceleration file      	MAX       	Yes
KBL269 TO KBLA140-40MGW        	XPIC file                        	MAX       	Yes
KBL269 TO KBLA140-40MGW        	1024QAM file                     	MAX       	Yes
KBL269 TO KBLA140-40MGW        	IS3 Function file                	MAX       	Yes
KBL269 TO KBLA140-40MGW        	2048QAM file                     	MAX       	Yes
KBL269 TO KBLA140-40MGW        	4096QAM file                     	MAX       	Yes
KBL269 TO KBLA140-40MGW        	XPIC Function for ISM6 file      	MAX       	Yes
KBL269 TO KBLA140-40MGW-11-ISX2	AM file                          	Disable   	Yes
KBL269 TO KBLA140-40MGW-11-ISX2	Hybrid file                      	MAX       	Yes
KBL269 TO KBLA140-40MGW-11-ISX2	Bandwidth acceleration file      	Disable   	Yes
KBL269 TO KBLA140-40MGW-12-ISX2	AM file                          	Disable   	Yes
KBL269 TO KBLA140-40MGW-12-ISX2	Hybrid file                      	MAX       	Yes
KBL269 TO KBLA140-40MGW-12-ISX2	Bandwidth acceleration file      	Disable   	Yes
KBL269 TO KBLA140-40MGW-13-ISX2	AM file                          	Disable   	Yes
KBL269 TO KBLA140-40MGW-13-ISX2	Hybrid file                      	MAX       	Yes
KBL269 TO KBLA140-40MGW-13-ISX2	Bandwidth acceleration file      	Disable   	Yes
KBL269 TO KBLA140-40MGW-14-ISX2	AM file                          	Disable   	Yes
KBL269 TO KBLA140-40MGW-14-ISX2	Hybrid file                      	MAX       	Yes
KBL269 TO KBLA140-40MGW-14-ISX2	Bandwidth acceleration file      	Disable   	Yes
KBL269 TO KBLA140-40MGW-3-ISX2 	AM file                          	Disable   	Yes
KBL269 TO KBLA140-40MGW-3-ISX2 	Hybrid file                      	MAX       	Yes
KBL269 TO KBLA140-40MGW-3-ISX2 	Bandwidth acceleration file      	Disable   	Yes
KBL269 TO KBLA140-40MGW-4-ISX2 	AM file                          	Disable   	Yes
KBL269 TO KBLA140-40MGW-4-ISX2 	Hybrid file                      	MAX       	Yes
KBL269 TO KBLA140-40MGW-4-ISX2 	Bandwidth acceleration file      	Disable   	Yes
KBL269 TO KBLA140-40MGW-5-ISX2 	AM file                          	Disable   	Yes
KBL269 TO KBLA140-40MGW-5-ISX2 	Hybrid file                      	MAX       	Yes
KBL269 TO KBLA140-40MGW-5-ISX2 	Bandwidth acceleration file      	Disable   	Yes
KBL269 TO KBLA140-40MGW-6-ISX2 	AM file                          	Disable   	Yes
KBL269 TO KBLA140-40MGW-6-ISX2 	Hybrid file                      	MAX       	Yes
KBL269 TO KBLA140-40MGW-6-ISX2 	Bandwidth acceleration file      	Disable   	Yes
