		License Management
System Control Board:CSHI
Object                                         	License File Type                	Capability	Loaded
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	1588 file                        	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	Radio LAG file                   	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	Synchronous Ethernet service file	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	MPLS file                        	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	GE Port file                     	MAX       	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	ERPS file                        	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	PLA file                         	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	MPLS-TP OAM file                 	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	WRED function file               	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	L2DCN file                       	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	LLDP file                        	Enable    	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	AM file                          	MAX       	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	Bandwidth acceleration file      	MAX       	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	XPIC file                        	MAX       	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1       	1024QAM file                     	MAX       	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1-3-ISU3	AM file                          	Disable   	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1-3-ISU3	Hybrid file                      	MAX       	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1-3-ISU3	Bandwidth acceleration file      	Disable   	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1-3-ISU3	XPIC file                        	Disable   	Yes
MNZ9889_26222_RTN905_Manzoor_Pura_Plot_1-3-ISU3	1024QAM file                     	Enable    	Yes
