		License Management
System Control Board:CSHP
Object        	License File Type                	Capability	Loaded
51026-1       	1588 file                        	Enable    	Yes
51026-1       	Radio LAG file                   	Enable    	Yes
51026-1       	Synchronous Ethernet service file	Enable    	Yes
51026-1       	MPLS file                        	Enable    	Yes
51026-1       	GE Port file                     	MAX       	Yes
51026-1       	ERPS file                        	Enable    	Yes
51026-1       	PLA file                         	Enable    	Yes
51026-1       	Second IF port file              	Enable    	Yes
51026-1       	MPLS-TP OAM file                 	Enable    	Yes
51026-1       	WRED function file               	Enable    	Yes
51026-1       	L2DCN file                       	Enable    	Yes
51026-1       	LLDP file                        	Enable    	Yes
51026-1       	L3 file                          	Enable    	Yes
51026-1       	STM-1 Function file              	MAX       	Yes
51026-1       	POE Function file                	MAX       	Yes
51026-1       	AM file                          	MAX       	Yes
51026-1       	Bandwidth acceleration file      	MAX       	Yes
51026-1       	XPIC file                        	MAX       	Yes
51026-1       	1024QAM file                     	MAX       	Yes
51026-1       	2048QAM file                     	MAX       	Yes
51026-1-3-ISV3	AM file                          	Disable   	Yes
51026-1-3-ISV3	Hybrid file                      	MAX       	Yes
51026-1-3-ISV3	Bandwidth acceleration file      	Disable   	Yes
51026-1-3-ISV3	XPIC file                        	Disable   	Yes
51026-1-3-ISV3	1024QAM file                     	Disable   	Yes
51026-1-3-ISV3	2048QAM file                     	Disable   	Yes
51026-1-4-ISV3	AM file                          	Disable   	Yes
51026-1-4-ISV3	Hybrid file                      	MAX       	Yes
51026-1-4-ISV3	Bandwidth acceleration file      	Disable   	Yes
51026-1-4-ISV3	XPIC file                        	Disable   	Yes
51026-1-4-ISV3	1024QAM file                     	Disable   	Yes
51026-1-4-ISV3	2048QAM file                     	Disable   	Yes
