		License Management
System Control Board:CSHI
Object             	License File Type                	Capability	Loaded
SMB8288_NE_1       	1588 file                        	Enable    	Yes
SMB8288_NE_1       	Radio LAG file                   	Enable    	Yes
SMB8288_NE_1       	Synchronous Ethernet service file	Enable    	Yes
SMB8288_NE_1       	MPLS file                        	Enable    	Yes
SMB8288_NE_1       	GE Port file                     	MAX       	Yes
SMB8288_NE_1       	ERPS file                        	Enable    	Yes
SMB8288_NE_1       	PLA file                         	Enable    	Yes
SMB8288_NE_1       	MPLS-TP OAM file                 	Enable    	Yes
SMB8288_NE_1       	WRED function file               	Enable    	Yes
SMB8288_NE_1       	L2DCN file                       	Enable    	Yes
SMB8288_NE_1       	LLDP file                        	Enable    	Yes
SMB8288_NE_1       	AM file                          	MAX       	Yes
SMB8288_NE_1       	Bandwidth acceleration file      	MAX       	Yes
SMB8288_NE_1       	XPIC file                        	MAX       	Yes
SMB8288_NE_1       	1024QAM file                     	MAX       	Yes
SMB8288_NE_1-3-ISU3	AM file                          	Disable   	Yes
SMB8288_NE_1-3-ISU3	Hybrid file                      	MAX       	Yes
SMB8288_NE_1-3-ISU3	Bandwidth acceleration file      	Disable   	Yes
SMB8288_NE_1-3-ISU3	XPIC file                        	Disable   	Yes
SMB8288_NE_1-3-ISU3	1024QAM file                     	Enable    	Yes
